"索引","DMM-1 时间 (s)","DMM-1 电压 (V)"
"1","0.0006009","-0.0007438279"
"2","0.1481161","-0.002570462"
"3","0.2971144","-0.004466429"
"4","0.4456685","-0.006384219"
"5","0.5972169","-0.008163746"
"6","1.1263739","-0.01431841"
"7","1.2741227","-0.01610931"
"8","1.4312802","-0.01778925"
"9","1.58024","-0.01945651"
"10","1.7303245","-0.02111218"
"11","1.8803713","-0.02272677"
"12","2.0289565","-0.02431616"
"13","2.1790982","-0.02590282"
"14","2.3273833","-0.02747648"
"15","2.4759976","-0.02903156"
"16","2.6260172","-0.03054036"
"17","3.103911","0.03111326"
"18","3.251406","0.8391916"
"19","3.4061657","0.8863956"
"20","3.5525771","0.8883929"
"21","3.6996538","0.8895173"
"22","3.8466392","0.8902857"
"23","3.9930829","0.8911829"
"24","4.1397085","0.890659"
"25","4.2872659","0.8785362"
"26","4.4358815","0.582979"
"27","4.5827938","0.2065628"
"28","5.0713904","0.04310967"
"29","5.2201166","0.04070188"
"30","5.3681603","0.03840237"
"31","5.5133097","0.03617918"
"32","5.6617921","0.03377271"
"33","5.8111667","0.03175817"
"34","5.9614417","0.02962884"
"35","6.1132882","0.02763611"
"36","6.2627362","0.0257075"
"37","6.4113801","0.02492347"
"38","6.5590527","0.02849616"
"39","7.0621332","0.8922189"
"40","7.2107303","0.8924249"
"41","7.3607657","0.8925762"
"42","7.5082867","0.8927072"
"43","7.6569469","0.8914907"
"44","7.8038593","0.8774008"
"45","7.9490203","0.5824311"
"46","8.095652","0.2076875"
"47","8.2425864","0.06926791"
"48","8.3897769","0.05831658"
"49","8.5386044","0.05638703"
"50","8.6851385","0.05222398"
"51","9.1475408","0.05021196"
"52","9.2949955","0.04819164"
"53","9.4429337","0.04633472"
"54","9.591849","0.04465492"
"55","9.7401134","0.04296036"
"56","9.8878295","0.04149005"
"57","10.0410933","0.04187945"
"58","10.1897064","0.05596837"
"59","10.3395244","0.3932638"
"60","10.4893066","0.8844999"
"61","10.6385826","0.8909953"
"62","11.1541065","0.8907562"
"63","11.3019169","0.8898394"
"64","11.450952","0.8770002"
"65","11.5989546","0.6461947"
"66","11.7441202","0.2403327"
"67","11.8913694","0.08096112"
"68","12.037729","0.06547122"
"69","12.1848668","0.06633004"
"70","12.3303012","0.06597229"
"71","12.47743","0.06591488"
"72","12.6250971","0.06463528"
"73","13.0735636","0.05865434"
"74","13.2205801","0.0567041"
"75","13.3693042","0.05515761"
"76","13.5197416","0.05370998"
"77","13.6664504","0.05329501"
"78","13.8156548","0.05703239"
"79","13.964537","0.1015927"
"80","14.1141829","0.8541977"
"81","14.2635726","0.887976"
"82","14.4145597","0.888661"
"83","14.5620924","0.8884752"
"84","15.0813516","0.870701"
"85","15.2292641","0.5599309"
"86","15.3768273","0.2067365"
"87","15.5221773","0.07681181"
"88","15.6710532","0.07071657"
